_date,_open,_high,_low,_close,_volume
2010-04-25,0.003,0.003,0.003,0.003,1000
2010-04-26,0.003,0.003,0.003,0.003,1300
2010-04-30,0.003,0.003,0.003,0.003,173
2010-05-01,0.003,0.003,0.003,0.003,174
2010-05-02,0.003,0.003,0.003,0.003,174
2010-05-03,0.003,0.003,0.003,0.003,174
2010-05-04,0.003,0.003,0.003,0.003,2500
2010-05-05,0.0031,0.0035,0.0031,0.0035,6100
2010-05-06,0.004,0.0043,0.004,0.0043,2622
2010-05-07,0.0042899999999999995,0.0042899999999999995,0.0042,0.0042,1822
2010-05-08,0.0034990000000000004,0.0034990000000000004,0.0034990000000000004,0.0034990000000000004,150
2010-05-10,0.0039,0.0039,0.0039,0.0039,10500
2010-05-11,0.004,0.0041,0.004,0.0041,5878
2010-05-12,0.0042,0.00442,0.0042,0.004416,21081
2010-05-14,0.004,0.004,0.004,0.004,900
2010-05-18,0.00465,0.00465,0.0045,0.0045,2550
2010-05-19,0.00455,0.004592000000000001,0.00455,0.004592000000000001,20000
2010-05-20,0.0045,0.0045,0.0045,0.0045,222
2010-05-22,0.004292,0.0047,0.004292,0.0047,20000
2010-05-23,0.0049,0.0049,0.0045,0.0045,2000
2010-05-25,0.004845,0.004845,0.004845,0.004845,2000
2010-05-26,0.004598,0.004598,0.004598,0.004598,2000
2010-05-27,0.004598,0.004598,0.004598,0.004598,2500
2010-05-28,0.004547,0.004547,0.004547,0.004547,2500
2010-05-29,0.004485,0.004485,0.004485,0.004485,19884
2010-05-30,0.004485,0.004485,0.004485,0.004485,10000
2010-06-04,0.004,0.004,0.004,0.004,2000
2010-06-07,0.0046,0.0046,0.0045,0.0045,6100
2010-06-08,0.003992,0.003992,0.003992,0.003992,400
2010-06-09,0.00455,0.0046,0.00455,0.0046,3600
2010-06-10,0.005,0.005,0.005,0.005,10000
2010-06-14,0.005,0.005,0.005,0.005,900
2010-06-18,0.004975,0.004975,0.004975,0.004975,5000
2010-06-22,0.004975,0.004975,0.004975,0.004975,4000
2010-06-23,0.004963,0.005,0.00495,0.005,13700
2010-06-24,0.00505,0.0054,0.005,0.005,13000
2010-06-26,0.0044,0.0044,0.0044,0.0044,10000
2010-06-28,0.005045,0.0058,0.0044,0.0058,61300
2010-06-30,0.0054,0.0054,0.0054,0.0054,2500
2010-07-01,0.0055,0.0066,0.0055,0.0066,31300
2010-07-02,0.0055,0.0055,0.0055,0.0055,100
2010-07-03,0.006135,0.0065,0.0055,0.0065,5100
2010-07-04,0.0055,0.006790000000000001,0.0055,0.006790000000000001,10100
2010-07-05,0.0055,0.008,0.0055,0.008,12100
2010-07-06,0.00575,0.00575,0.00575,0.00575,100
2010-07-07,0.00575,0.008,0.00575,0.008,2100
2010-07-08,0.00625,0.00634,0.00625,0.00634,600
2010-07-10,0.00805,0.0081,0.00805,0.0081,5600
2010-07-11,0.008445000000000001,0.008445000000000001,0.006999999999999999,0.006999999999999999,7500
2010-07-12,0.012,0.013999999999999999,0.01,0.013999999999999999,20300
2010-07-13,0.01595,0.017,0.0125,0.0125,9425
2010-07-14,0.01825,0.0625,0.008,0.015,13500
2010-07-15,0.02505,0.07245,0.019,0.045,15200
2010-07-16,0.0472,0.0925,0.04475,0.075,20900
2010-07-17,0.0745,0.0745,0.049510000000000005,0.049510000000000005,1520
2010-07-18,0.059410000000000004,0.0875,0.059410000000000004,0.08584,1575.01
2010-07-19,0.0909,0.09307,0.061,0.061,3574
2010-07-20,0.08181000000000001,0.08181000000000001,0.06,0.07945,3662
2010-07-21,0.07425,0.0894,0.0579,0.07921,2875
2010-07-22,0.07921,0.08181000000000001,0.05,0.05842000000000001,6160
2010-07-23,0.0505,0.0695,0.0505,0.06262000000000001,4102.5
2010-07-24,0.061610000000000005,0.067455,0.05049,0.055999999999999994,4096.32
2010-07-25,0.05545,0.05998,0.04995,0.054229999999999993,8551.48
2010-07-26,0.05,0.055999999999999994,0.04,0.055999999999999994,4377
2010-07-27,0.055,0.08,0.051,0.051,8973.69
2010-07-28,0.06,0.062,0.0535,0.0589,5890.29
2010-07-29,0.0597,0.0699,0.0542,0.0699,9658.49
2010-07-30,0.0698,0.0698,0.0582,0.0627,5620.85
2010-07-31,0.065,0.06888999999999999,0.04005,0.06785,4922.25
2010-08-01,0.061,0.065,0.05995,0.0611,6601
2010-08-02,0.0627,0.0633,0.056025,0.0567,5399
2010-08-03,0.06,0.065,0.057,0.06,15121.5
2010-08-04,0.06229,0.0635,0.0401,0.057010000000000005,4694
2010-08-05,0.0581,0.063,0.045,0.063,14734.1
2010-08-06,0.062,0.0635,0.0607,0.0623,3495
2010-08-07,0.0608,0.065,0.059000000000000004,0.059000000000000004,4819
2010-08-08,0.059000000000000004,0.0666,0.059000000000000004,0.0609,4901
2010-08-09,0.06091,0.0735,0.0593,0.0689,21231.1
2010-08-10,0.068,0.0709,0.0375,0.07,4210.39
2010-08-11,0.06,0.07541,0.03,0.067,20861.2
2010-08-12,0.068,0.07,0.03,0.07,8662.31
2010-08-13,0.0665,0.068,0.0645,0.0645,4591.77
2010-08-14,0.0655,0.0695,0.0635,0.067,4504.2
2010-08-15,0.067,0.067,0.0325,0.06529,6262.87
2010-08-16,0.06319,0.068,0.04,0.0655,18231.5
2010-08-17,0.0655,0.0769,0.0225,0.07,17185.7
2010-08-18,0.06999,0.0733,0.04,0.068,10454
2010-08-19,0.0679,0.0679,0.0461,0.0667,1741.11
2010-08-20,0.0667,0.068,0.0491,0.0655,7299.75
2010-08-21,0.0655,0.068,0.049,0.0664,20243.9
2010-08-22,0.065,0.068,0.0597,0.066,19749
2010-08-23,0.066,0.068,0.063,0.068,5997.49
2010-08-24,0.06491,0.0665,0.049,0.065,7711.76
2010-08-25,0.06635,0.0665,0.046,0.0648,4528.88
2010-08-26,0.0648,0.0658,0.064,0.064,3870.01
2010-08-27,0.064,0.065,0.049,0.065,12110
2010-08-28,0.065,0.065,0.049,0.0646,7374.01
2010-08-29,0.0647,0.065,0.049,0.065,5373.4
2010-08-30,0.0646,0.069,0.03211,0.06497,38193.1
2010-08-31,0.06411,0.0669,0.051,0.06,19986.9
2010-09-01,0.062,0.0649,0.05,0.0629,18555.7
2010-09-02,0.061,0.065,0.0501,0.0634,14750.7
2010-09-03,0.061,0.0669,0.05,0.055,4292
2010-09-04,0.06125,0.0685,0.0501,0.06238,8601
2010-09-05,0.06245,0.0875,0.0605,0.0616,8559.24
2010-09-06,0.0627,0.0655,0.0524,0.0524,4310
2010-09-07,0.0616,0.06201,0.0525,0.061,4557.19
2010-09-08,0.061,0.062,0.060989999999999996,0.062,2345.41
2010-09-09,0.0611,0.0647,0.0525,0.061110000000000005,4733.5
2010-09-10,0.061,0.0618,0.06014,0.0618,4939.79
2010-09-11,0.0619,0.065,0.0619,0.06366000000000001,7749.14
2010-09-12,0.0621,0.0621,0.05,0.05,6093.88
2010-09-13,0.061989999999999996,0.064,0.051,0.06217999999999999,17076.3
2010-09-14,0.062,0.175,0.0456,0.061989999999999996,18514.8
2010-09-15,0.0625,0.0625,0.051,0.0604,9751.85
2010-09-16,0.0619,0.0619,0.0507,0.055999999999999994,6030
2010-09-17,0.06089,0.0609,0.0529,0.0601,11462
2010-09-18,0.059000000000000004,0.061,0.05761,0.061,7092.61
2010-09-19,0.06091,0.0627,0.051,0.0627,21152.2
2010-09-20,0.0621,0.0634,0.052000000000000005,0.0621,19907.9
2010-09-21,0.0631,0.0644,0.0511,0.06265,9935.95
2010-09-22,0.0623,0.0624,0.05,0.0622,13760.4
2010-09-23,0.0621,0.0639,0.0523,0.062310000000000004,24605.3
2010-09-24,0.06209,0.0637,0.0523,0.0622,14684.4
2010-09-25,0.062220000000000004,0.0624,0.0523,0.062020000000000006,3552.5
2010-09-26,0.06204,0.062279999999999995,0.0522,0.062,18258.1
2010-09-27,0.06205,0.0625,0.053,0.06221,13152.2
2010-09-28,0.06196,0.0639,0.0617,0.0619,11386.2
2010-09-29,0.062,0.0639,0.0523,0.06191,28775.6
2010-09-30,0.061739999999999996,0.0619,0.053,0.0619,14317
2010-10-01,0.06189,0.063,0.0551,0.061970000000000004,14917.5
2010-10-02,0.06188,0.0625,0.054000000000000006,0.0614,19359.7
2010-10-03,0.06139,0.063,0.057,0.061110000000000005,8872.63
2010-10-04,0.0614,0.062,0.0563,0.0613,40395.4
2010-10-05,0.061320000000000006,0.06301,0.0582,0.0614,31626.6
2010-10-06,0.06145,0.0635,0.0541,0.06281,47433.3
2010-10-07,0.0632,0.067,0.0591,0.067,65593
2010-10-08,0.067,0.08800000000000001,0.01,0.08685,159487
2010-10-09,0.08409,0.12000999999999999,0.067,0.0938,209347
2010-10-10,0.09300000000000001,0.1301,0.073,0.0965,61984.2
2010-10-11,0.091,0.10300000000000001,0.07400000000000001,0.095,17492.9
2010-10-12,0.094,0.099,0.077,0.08,31860.8
2010-10-13,0.092,0.105,0.076,0.105,49057.3
2010-10-14,0.1045,0.1045,0.065,0.09,45117.3
2010-10-15,0.1,0.11900000000000001,0.078,0.105,33943.3
2010-10-16,0.1,0.10300000000000001,0.079,0.10099999999999999,15584.7
2010-10-17,0.102,0.1045,0.08,0.081,25922.2
2010-10-18,0.10300000000000001,0.10300000000000001,0.0849,0.1024,31165.1
2010-10-19,0.1,0.1019,0.0849,0.0895,12335.1
2010-10-20,0.1,0.10300000000000001,0.0851,0.092,37155
2010-10-21,0.0972,0.109,0.087,0.087,48167
2010-10-22,0.1015,0.10901,0.0881,0.1025,41303.9
2010-10-23,0.109,0.109,0.09,0.0906,9923.47
2010-10-24,0.10800000000000001,0.19,0.092,0.092,20900.2
2010-10-25,0.09009,0.19,0.09009,0.132,41199.6
2010-10-26,0.133,0.18,0.0999,0.1503,32019.1
2010-10-27,0.151,0.2,0.13,0.1877,76605.9
2010-10-28,0.1845,0.191,0.17,0.1731,38525
2010-10-29,0.1799,0.19,0.17300000000000001,0.19,28686.9
2010-10-30,0.1876,0.19899999999999998,0.141,0.1989,26808.9
2010-10-31,0.19399999999999998,0.1989,0.1699,0.1925,44037.8
2010-11-01,0.1925,0.1955,0.172,0.1949,23358.6
2010-11-02,0.192,0.195,0.165,0.1938,9453.39
2010-11-03,0.1938,0.275,0.125,0.1931,64372.6
2010-11-04,0.1989,0.23601,0.1849,0.23,36398.4
2010-11-05,0.2101,0.2639,0.2,0.2639,38422.1
2010-11-06,0.262,0.5,0.21,0.39,39356.1
2010-11-07,0.46998999999999996,0.46998999999999996,0.26,0.34,79218.7
2010-11-08,0.3459,0.37,0.2261,0.243,120604
2010-11-09,0.251,0.32299999999999995,0.19899999999999998,0.2163,50283.4
2010-11-10,0.2101,0.26,0.14,0.24,34687
2010-11-11,0.2299,0.24,0.21,0.2231,5031.88
2010-11-12,0.2289,0.29,0.22,0.2682,41820.4
2010-11-13,0.2868,0.3,0.2401,0.276,22515.6
2010-11-14,0.276,0.299,0.2702,0.27904,18744.3
2010-11-15,0.27904,0.2828,0.26,0.2682,10207.7
2010-11-16,0.2683,0.3,0.223,0.223,36831
2010-11-17,0.223,0.29,0.2116,0.24,34771.6
2010-11-18,0.2221,0.28300000000000003,0.2221,0.2678,39446.7
2010-11-19,0.2683,0.28,0.2682,0.27529000000000003,2257.56
2010-11-20,0.28,0.29,0.26825,0.28301,16352.7
2010-11-21,0.27631,0.282,0.27631,0.27675,765
2010-11-22,0.27679000000000004,0.32,0.26899999999999996,0.32,28305.8
2010-11-23,0.2825,0.28449,0.276,0.28295,5356.92
2010-11-24,0.28295,0.28299,0.2761,0.28295,2514.91
2010-11-25,0.2825,0.2825,0.278,0.28,2179.59
2010-11-26,0.27899,0.289,0.27612,0.2844,35331.9
2010-11-27,0.2844,0.2844,0.28255,0.28300000000000003,1825.39
2010-11-28,0.28300000000000003,0.28461,0.27,0.2707,21402.1
2010-11-29,0.27899999999999997,0.27899999999999997,0.2151,0.2299,36055.4
2010-11-30,0.2299,0.2299,0.14,0.2082,21576.3
2010-12-01,0.2095,0.2299,0.2095,0.2275,8157.89
2010-12-02,0.228,0.2553,0.218,0.255,21612.2
2010-12-03,0.25,0.2552,0.243,0.25105,2570.34
2010-12-04,0.255,0.2589,0.205,0.205,28960.7
2010-12-05,0.22,0.235,0.19,0.19,5740.18
2010-12-06,0.225,0.225,0.1841,0.21,5719.25
2010-12-07,0.1938,0.25,0.1701,0.233,25292.9
2010-12-08,0.24,0.24,0.2,0.2388,4030.41
